fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240512 235942	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	119	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.382942790404433	0.626407093666372	1292	254	12477	57541953.5232384	47
20240513 000200	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.496970926884309	0.886207060835294	713	490	10520	54834002.9985007	48
20240513 000935	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	258	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0669109722852805	0.863328331116283	1248	334	13814	62376050.9745127	49
20240513 001248	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	229	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.402454343982102	0.670993471769486	274	1736	10077	56029509.7451274	50
20240513 001530	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	35	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.461177322157045	0.532779528702456	1115	450	11440	51921559.2203898	51
20240513 002445	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1139	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0478211050928364	0.631924145662926	2042	1971	10428	61862746.6266867	52
20240513 003030	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	370	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.102851013846336	0.564349944396813	1923	1608	13850	62241724.137931	53
20240513 004113	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	557	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0200601546533968	0.802397957003248	1143	140	12524	63433037.4812594	54
20240513 004830	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	521	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.020065018623036	0.723729012393271	637	268	11769	63100256.3718141	55
20240513 005429	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	464	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.105575684171924	0.795811450422415	686	1436	12753	63933863.5682159	56
20240513 010403	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	318	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0202322591503059	0.515866171891123	1581	100	11374	63717880.05997	57
20240513 010753	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	106	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.157677783600387	0.726515631033686	659	725	12417	61515356.8215892	58
20240513 012227	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2027	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.02024921561034	0.889433361993481	698	1918	12598	62327619.1904048	59
20240513 012835	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	504	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0636622576199576	0.772415453644242	563	1503	12250	63009700.149925	60
20240513 014152	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	588	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0201227381090778	0.76706424745146	1638	103	13467	63071203.898051	61
20240513 015749	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	817	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0200200209094865	0.657748144531191	1511	402	11964	63501643.1784108	62
20240513 020453	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	496	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0663938901103904	0.789558202218312	783	1101	11670	62154917.5412294	63
20240513 021913	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1629	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0200900828626552	0.708558139659706	1586	1420	12164	63031178.4107946	64
20240513 023847	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2827	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0200247014411193	0.654519236193435	1150	1799	13938	62854665.6671664	65
20240513 024502	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1115	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0200560319237164	0.733085372317123	279	104	13002	63123355.3223388	66
20240513 025123	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	147	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0880914601214494	0.613908116564513	1568	100	14195	61404865.0674663	67
20240513 030656	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1920	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0201521670210747	0.500258966149426	390	1292	15352	62371226.3868066	68
20240513 031623	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	799	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0200264753331652	0.500227522833299	1893	1398	12151	62459923.5382309	69
